MADRIGALIST	mxxt3 dri3 keel0 lis3
MADRIGALISTICO	mxxt3 dri3 keel0 lis3 ti1 khoo2
MADRIGALISTS	mxxt3 dri3 keel0 lis3
MADRIGALS	mxxt3 dri3 k@l2
MADRON	mxx0 dr@n2
MADRONE	mxx0 dr@n2
MADRONES	mxx0 dr@n2
MADSEN	mxxt3 sen2
MADSENS	mxxt3 sen2
MADSON	mxxt3 san2
MADSTART	mxxt3 sa1 taat3
MADSTOCK	mxxt3 sa1 t@k3
MADSTONE	mxxt3 sa1 toon0
MADSTONES	mxxt3 sa1 toon0
MADURAI	mxx0 duu0 raaj0
MADWOMAN	mxxt3 wuu3 mxn2
MADWOMEN	mxxt3 wii3 men2
MADWORT	mxxt3 wqqt1
MAECENAS	maj3 sii0 naas3
MAELSTROM	meel0 sa1 tr@@m0
MAELSTROMS	meel0 sa1 tr@@m0
MAENAD	mii0 nxxt3
MAENADES	mii0 nxxt3
MAENADIC	mii0 nxxt3 dik1
MAENADISM	mii0 nxx0 dis3 svm2
MAENADS	mii0 nxxt3
MAESTEG	maaj3 sa1 tek1
MAESTOSO	maa0 sa1 too0 soo2
MAESTOSOS	maa0 sa1 too0 soos2
MAESTRA	maaj3 sa1 trqq2
MAESTRI	maaj3 sa1 trii2
MAESTRICHT	maaj3 sa1 trik1
MAESTRINO	maaj3 sa1 trii0 noo2
MAESTRIS	maaj3 sa1 triis2
MAESTRO	maaj3 sa1 troo2
MAESTRONE	maaj3 sa1 tr@@n0 nii2
MAESTROS	maaj3 sa1 troos2
MAFFICK	mxf3 fik1
MAFFICKED	mxf3 fik1
MAFFICKER	mxf3 fik3 kqq2
MAFFICKING	mxf3 fik3 king2
MAFFICKS	mxf3 fik1
MAFFIES	mxf3 fis1
MAFIA	maa0 fiia0
MAFIAS	maa0 fiia0
MAG	mxk3
MAGACYCLE	me0 kaa2 saaj3 kh@l2
MAGADORN	me0 kaa2 d@@n0
MAGANA	mxk3 kaa0 naa2
MAGANAS	mxk3 kaa0 naas2
MAGANTI	mxk3 kxxn0 tii2
MAGANTO	mxk3 kxxn0 too2
MAGARIAN	mxk3 kaa0 riian2
MAGAZINE	mxk3 kaa0 siin0
MAGAZINED	mxk3 kaa0 siin0
MAGAZINER	mxk3 kaa0 siin0 nqq2
MAGAZINES	mxk3 kaa0 siin0
MAGBAG	mxk3 bxk3
MAGDALEN	mxk3 deel0 len0
MAGDALENES	mxk3 deel0 leen0
MAGDALENIAN	mxk3 deel0 lii0 niian2
MAGDALENS	mxk3 deel0 leen0
MAGDEBURG	mxk3 di1 bqqk1
MAGDEBURGER	mxk3 di1 bqq0 kqq2
MAGDELAINE	mxk3 del0 leen0
MAGDELEINE	mxk3 del0 liin0
MAGDELEN	mxk3 del0 len2
MAGDELENIAN	mxk3 del0 lii0 niian2
MAGE	meec1
MAGEES	meec1 ciis1
MAGELLA	mxk3 ceel0 laa2
MAGELLAN	mxk3 ceel0 lxxn2
MAGELLANES	mxk3 ceel0 leen2
MAGELLANS	mxk3 ceel0 lxxn2
MAGELLEN	mxk3 ceel0 len2
MAGELONE	meec1 cql2 loon0
MAGENERAL	mq1 cee0 nq1 r@l2
MAGENNIS	mq1 cen0 nis3
MAGENTA	mq1 cen0 taa2
MAGENTAS	mq1 cen0 taa2
MAGER	meec1 cqq2
MAGERMAN	meec1 cqq2 mxxn0
MAGERS	meec1 cqq2
MAGES	meec1 ces1
MAGEST	meec1 ces2
MAGGIE	mxk3 kii2
MAGGIES	mxk3 kiis2
MAGGON	mxk3 k@n2
MAGGOT	mxk3 k@t1
MAGGOTRIES	mxk3 k@@0 thris1
MAGGOTRON	mxk3 k@@0 thr@@n0
MAGGOTRY	mxk3 k@@0 thrii2
MAGGOTS	mxk3 k@t1
MAGGOTY	mxk3 k@t3 tii2
MAGHULL	mq1 kal2
MAGI	mee0 caj0
MAGIC	mee0 cik1
MAGICAL	mee0 ci1 kh@l2
MAGICALLY	mee0 ci1 khq1 lii2
MAGICALNESS	mee0 ci1 khql2 nees1
MAGICAN	mee0 ci1 khxxn2
MAGICANS	mee0 ci1 khxxn2
MAGICIAN	mee0 ci1 chiian2
MAGICIANS	mee0 ci1 chiian2
MAGICIANSHIP	mee0 ci1 chiian2 chip3
MAGICKING	mee0 cik1 king2
MAGICON	mee0 ci1 k@@n0
MAGICS	mee0 cik1
MAGID	mee0 cit1
MAGIED	meec3 cii2
MAGIER	meec3 ki1 qq2
MAGIERA	meec3 ki1 ee0 raa2
MAGILL	mxk3 kiil0
MAGILP	mq1 kilp3
MAGINATION	meec1 ci1 nee0 chan2
MAGINESS	meec1 ci1 nees1
MAGINN	mxk3 kin2
